Date,Volume,sentiment
2017-01-03,29616500.0,0.22505618960164417
2017-01-04,56067500.0,0.06643848538292986
2017-01-05,29558500.0,0.0435207336523126
2017-01-06,27639500.0,0.06887613144431326
2017-01-09,19897500.0,0.05412399505256648
2017-01-10,18300000.0,0.23345959595959595
2017-01-11,18254000.0,0.11217775526286164
2017-01-12,18951000.0,0.034867243867243866
2017-01-13,30465000.0,0.025787284610814025
2017-01-17,23087500.0,0.058700096200096176
2017-01-18,18845000.0,0.024798865851497424
2017-01-19,38661500.0,0.05010382329189669
2017-01-20,21021500.0,-0.010484848484848484
2017-01-23,31314500.0,0.02232572982572982
2017-01-24,24827500.0,0.0680950172276703
2017-01-25,25713000.0,0.03211287477954145
2017-01-26,15760500.0,-0.0069769863584296585
2017-01-27,15831500.0,-0.03117484367484367
2017-01-30,19005500.0,0.018906105876694123
2017-01-31,20580500.0,-0.030500459136822766
2017-02-01,19794000.0,0.03900054971483546
2017-02-02,12499000.0,0.01472134767589314
2017-02-03,10933500.0,0.0030827454438565687
2017-02-06,17812500.0,0.12705795496493172
2017-02-07,21224000.0,0.006170274170274178
2017-02-08,19665000.0,0.0014087301587301711
2017-02-09,39101000.0,0.043179466230936825
2017-02-10,18098500.0,0.0034624017957351296
2017-02-13,35148000.0,0.046794501794501814
2017-02-14,36726000.0,0.17053545963840108
2017-02-15,24739500.0,0.20047169811320747
2017-02-16,35386500.0,0.14891741071428574
2017-02-17,31285500.0,0.10979668271803104
2017-02-21,28383500.0,0.02740780340349306
2017-02-22,43775000.0,0.1142507102272728
2017-02-23,74576000.0,0.10721552461166685
2017-02-24,40858000.0,0.0767069992069993
2017-02-27,57304000.0,0.08572478662594937
2017-02-28,30390500.0,0.05308065123282512
2017-03-01,24047500.0,0.025141531595019976
2017-03-02,16759000.0,0.1556363987093154
2017-03-03,14597000.0,0.031350058515412844
2017-03-06,16777500.0,0.04636844636844636
2017-03-07,17297500.0,0.051273792345220906
2017-03-08,18626000.0,0.06376262626262626
2017-03-09,19396500.0,0.19529037447070235
2017-03-10,15331500.0,0.13671513708513705
2017-03-13,15113000.0,0.017595990965556186
2017-03-14,37992000.0,0.03224752748875556
2017-03-15,26654000.0,-0.045396789971258136
2017-03-16,35661000.0,0.007694115956311079
2017-03-17,32487500.0,0.12430701298701279
2017-03-20,18071500.0,0.03554778554778555
2017-03-21,34543000.0,0.03309343434343434
2017-03-22,20296500.0,0.10257116620752983
2017-03-23,16601000.0,0.06686117936117936
2017-03-24,28236500.0,0.05910047317024059
2017-03-27,31154000.0,0.08535804473304473
2017-03-28,39938000.0,0.09655416065416064
2017-03-29,18381000.0,0.11576010101010104
2017-03-30,20742000.0,0.11237815656565657
2017-03-31,16473000.0,0.0729560212514758
2017-04-03,69443000.0,0.19027839785206443
2017-04-04,50673000.0,0.09979011880291505
2017-04-05,39404500.0,0.11104540968530607
2017-04-06,27603000.0,0.15430212764628354
2017-04-07,22898000.0,-0.017963033698327826
2017-04-10,38322500.0,0.05854078601137427
2017-04-11,28623000.0,0.10521330731558001
2017-04-12,30253500.0,-0.018670720298220252
2017-04-13,46423000.0,-0.21441174461060827
2017-04-17,20693500.0,0.06427016645326505
2017-04-18,15178500.0,0.1378200991395436
2017-04-19,19490000.0,0.01491623552599162
2017-04-20,30747000.0,0.043640270630836676
2017-04-21,22549000.0,0.0087345283824157
2017-04-24,25417500.0,0.08565095398428733
2017-04-25,33688500.0,0.07280634299989143
2017-04-26,23475000.0,0.038875747268604405
2017-04-27,17343000.0,0.05594647078689632
2017-04-28,22527500.0,0.07170039263062519
2017-05-01,44148000.0,0.15292718855218854
2017-05-02,26914000.0,-0.025970462929089576
2017-05-03,35667000.0,0.041361339870955256
2017-05-04,70760000.0,0.014706327507079406
2017-05-05,40886500.0,0.07107415536992999
2017-05-08,35032500.0,0.09056710724263915
2017-05-09,48382500.0,-0.00820232399179768
2017-05-10,28708000.0,0.12778447352310993
2017-05-11,23769000.0,0.023564983164983164
2017-05-12,20608000.0,0.05773638642059695
2017-05-15,38110000.0,0.07048439885396407
2017-05-16,20762500.0,0.08127776441665333
2017-05-17,33559500.0,0.005812289562289558
2017-05-18,28269000.0,0.020445011337868482
2017-05-19,23438000.0,-0.06028614364503934
2017-05-22,21646000.0,0.06626105564881075
2017-05-23,21592000.0,0.06087671587671588
2017-05-24,25166500.0,0.03219866365518539
2017-05-25,25070000.0,0.11518383722012752
2017-05-26,39011000.0,0.1153508771929825
2017-05-30,38914500.0,0.07318490742434407
2017-05-31,49817000.0,0.10652325980897415
2017-06-01,38040000.0,0.0914313590449954
2017-06-02,27951000.0,0.13718253968253974
2017-06-05,33922000.0,0.057183701420989545
2017-06-06,55434000.0,0.11487785297644448
2017-06-07,46990000.0,0.12460050531479103
2017-06-08,45307500.0,0.16624210013077195
2017-06-09,86307000.0,0.1267105186264065
2017-06-12,52588500.0,0.08462202671880094
2017-06-13,59039500.0,0.07237207792207793
2017-06-14,64092000.0,0.04328223410576354
2017-06-15,52132500.0,0.0649803751803752
2017-06-16,33655000.0,0.09237795537795535
2017-06-19,32746500.0,0.01539762706429373
2017-06-20,37193500.0,0.07748677248677252
2017-06-21,24616000.0,0.09461727666273119
2017-06-22,37649000.0,0.08856415972087615
2017-06-23,32229000.0,0.08241747835497838
2017-06-26,33020500.0,0.09048069985569987
2017-06-27,34982000.0,0.02642857142857143
2017-06-28,31512500.0,0.05732650162337662
2017-06-29,41105000.0,0.08249278499278496
2017-06-30,29242500.0,0.05488541936458605
2017-07-03,31527000.0,0.019751349473571697
